circle,0.6,True
341,14.00000,2.80000
342,15.40000,2.80000
343,16.80000,2.80000
344,18.20000,2.80000
345,19.60000,2.80000
346,21.00000,2.80000
347,-21.00000,1.40000
348,-19.60000,1.40000
349,-18.20000,1.40000
350,-16.80000,1.40000
351,-15.40000,1.40000
352,-14.00000,1.40000
353,-12.60000,1.40000
354,-11.20000,1.40000
355,-9.80000,1.40000
356,-8.40000,1.40000
357,-7.00000,1.40000
358,-5.60000,1.40000
359,-4.20000,1.40000
360,-2.80000,1.40000
361,-1.40000,1.40000
362,0.00000,1.40000
363,1.40000,1.40000
364,2.80000,1.40000
365,4.20000,1.40000
366,5.60000,1.40000
367,7.00000,1.40000
368,8.40000,1.40000
369,9.80000,1.40000
370,11.20000,1.40000
371,12.60000,1.40000
372,14.00000,1.40000
373,15.40000,1.40000
374,16.80000,1.40000
375,18.20000,1.40000
376,19.60000,1.40000
377,21.00000,1.40000
378,-21.00000,0.00000
379,-19.60000,0.00000
380,-18.20000,0.00000
381,-16.80000,0.00000
382,-15.40000,0.00000
383,-14.00000,0.00000
384,-12.60000,0.00000
385,-11.20000,0.00000
386,-9.80000,0.00000
387,-8.40000,0.00000
388,-7.00000,0.00000
389,-5.60000,0.00000
390,-4.20000,0.00000
391,-2.80000,0.00000
392,-1.40000,0.00000
393,0.00000,0.00000
394,1.40000,0.00000
395,2.80000,0.00000
396,4.20000,0.00000
397,5.60000,0.00000
398,7.00000,0.00000
399,8.40000,0.00000
400,9.80000,0.00000
401,11.20000,0.00000
402,12.60000,0.00000
403,14.00000,0.00000
404,15.40000,0.00000
405,16.80000,0.00000
406,18.20000,0.00000
407,19.60000,0.00000
408,21.00000,0.00000
409,-21.00000,-1.40000
410,-19.60000,-1.40000
411,-18.20000,-1.40000
412,-16.80000,-1.40000
413,-15.40000,-1.40000
414,-14.00000,-1.40000
415,-12.60000,-1.40000
416,-11.20000,-1.40000
417,-9.80000,-1.40000
418,-8.40000,-1.40000
419,-7.00000,-1.40000
420,-5.60000,-1.40000
421,-4.20000,-1.40000
422,-2.80000,-1.40000
423,-1.40000,-1.40000
424,0.00000,-1.40000
425,1.40000,-1.40000
426,2.80000,-1.40000
427,4.20000,-1.40000
428,5.60000,-1.40000
429,7.00000,-1.40000
430,8.40000,-1.40000
431,9.80000,-1.40000
432,11.20000,-1.40000
433,12.60000,-1.40000
434,14.00000,-1.40000
435,15.40000,-1.40000
